FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
1,20101229,3,1,1,60,22080,29/12/2010 00:00
2,20101229,3,1,2,60,20200,29/12/2010 00:00
3,20101229,3,1,2,61,2000,29/12/2010 00:00
4,20101229,3,1,1,61,2208,29/12/2010 00:00
5,20101229,3,1,1,62,1546,29/12/2010 00:00
6,20101229,3,1,2,62,1800,29/12/2010 00:00
7,20101229,3,1,2,65,380,29/12/2010 00:00
8,20101229,3,1,1,65,378,29/12/2010 00:00
9,20101229,3,1,1,66,344,29/12/2010 00:00
10,20101229,3,1,2,66,380,29/12/2010 00:00
11,20101229,3,1,2,67,200,29/12/2010 00:00
12,20101229,3,1,1,67,174,29/12/2010 00:00
13,20101229,3,1,1,68,132,29/12/2010 00:00
14,20101229,3,1,2,68,100,29/12/2010 00:00
15,20101229,3,1,1,69,38,29/12/2010 00:00
16,20101229,3,1,1,71,54,29/12/2010 00:00
17,20101229,3,1,2,71,70,29/12/2010 00:00
18,20101229,3,1,2,73,300,29/12/2010 00:00
19,20101229,3,1,1,73,250,29/12/2010 00:00
20,20101229,3,1,1,74,114,29/12/2010 00:00
21,20101229,3,1,2,74,100,29/12/2010 00:00
22,20101229,3,1,2,76,280,29/12/2010 00:00
23,20101229,3,1,1,76,297,29/12/2010 00:00
24,20101229,3,1,1,77,535,29/12/2010 00:00
25,20101229,3,1,2,77,480,29/12/2010 00:00
26,20101229,3,1,2,78,200,29/12/2010 00:00
27,20101229,3,1,1,78,153,29/12/2010 00:00
28,20101229,3,1,1,80,586,29/12/2010 00:00
29,20101229,3,1,2,80,550,29/12/2010 00:00
30,20101229,3,1,2,81,380,29/12/2010 00:00
31,20101229,3,1,1,81,363,29/12/2010 00:00
32,20101229,3,1,1,82,35,29/12/2010 00:00
33,20101229,3,1,2,82,40,29/12/2010 00:00
34,20101229,3,1,2,83,100,29/12/2010 00:00
35,20101229,3,1,1,83,123,29/12/2010 00:00
36,20101229,3,1,1,84,103,29/12/2010 00:00
37,20101229,3,1,2,84,100,29/12/2010 00:00
38,20101229,3,1,2,85,100,29/12/2010 00:00
39,20101229,3,1,1,85,98,29/12/2010 00:00
40,20101229,3,1,1,87,540,29/12/2010 00:00
41,20101229,3,1,2,87,480,29/12/2010 00:00
42,20101229,3,1,1,89,201,29/12/2010 00:00
43,20101229,3,1,1,90,309,29/12/2010 00:00
44,20101229,3,1,1,91,-247,29/12/2010 00:00
45,20101229,3,1,1,92,412,29/12/2010 00:00
46,20101229,3,1,1,94,214,29/12/2010 00:00
47,20101229,3,1,1,96,12,29/12/2010 00:00
48,20101229,3,2,1,12,23197,29/12/2010 00:00
49,20101229,3,6,1,52,3059,29/12/2010 00:00
50,20101229,3,6,2,52,3200,29/12/2010 00:00
51,20101229,3,6,2,53,2600,29/12/2010 00:00
52,20101229,3,6,1,53,2294,29/12/2010 00:00
53,20101229,3,6,1,56,33968,29/12/2010 00:00
54,20101229,3,6,2,56,27200,29/12/2010 00:00
55,20101229,3,6,2,57,3800,29/12/2010 00:00
56,20101229,3,6,1,57,3186,29/12/2010 00:00
57,20101229,3,6,1,60,16320,29/12/2010 00:00
58,20101229,3,6,2,60,14300,29/12/2010 00:00
59,20101229,3,6,2,61,1600,29/12/2010 00:00
60,20101229,3,6,1,61,1632,29/12/2010 00:00
61,20101229,3,6,1,62,979,29/12/2010 00:00
