FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
1,20101229,3,1,1,60,22080,2010-12-29 00:00:00
2,20101229,3,1,2,60,20200,2010-12-29 00:00:00
3,20101229,3,1,2,61,2000,2010-12-29 00:00:00
4,20101229,3,1,1,61,2208,2010-12-29 00:00:00
5,20101229,3,1,1,62,1546,2010-12-29 00:00:00
6,20101229,3,1,2,62,1800,2010-12-29 00:00:00
7,20101229,3,1,2,65,380,2010-12-29 00:00:00
8,20101229,3,1,1,65,378,2010-12-29 00:00:00
9,20101229,3,1,1,66,344,2010-12-29 00:00:00
10,20101229,3,1,2,66,380,2010-12-29 00:00:00
11,20101229,3,1,2,67,200,2010-12-29 00:00:00
12,20101229,3,1,1,67,174,2010-12-29 00:00:00
13,20101229,3,1,1,68,132,2010-12-29 00:00:00
14,20101229,3,1,2,68,100,2010-12-29 00:00:00
15,20101229,3,1,1,69,38,2010-12-29 00:00:00
16,20101229,3,1,1,71,54,2010-12-29 00:00:00
17,20101229,3,1,2,71,70,2010-12-29 00:00:00
18,20101229,3,1,2,73,300,2010-12-29 00:00:00
19,20101229,3,1,1,73,250,2010-12-29 00:00:00
20,20101229,3,1,1,74,114,2010-12-29 00:00:00
21,20101229,3,1,2,74,100,2010-12-29 00:00:00
22,20101229,3,1,2,76,280,2010-12-29 00:00:00
23,20101229,3,1,1,76,297,2010-12-29 00:00:00
24,20101229,3,1,1,77,535,2010-12-29 00:00:00
25,20101229,3,1,2,77,480,2010-12-29 00:00:00
26,20101229,3,1,2,78,200,2010-12-29 00:00:00
27,20101229,3,1,1,78,153,2010-12-29 00:00:00
28,20101229,3,1,1,80,586,2010-12-29 00:00:00
29,20101229,3,1,2,80,550,2010-12-29 00:00:00
30,20101229,3,1,2,81,380,2010-12-29 00:00:00
31,20101229,3,1,1,81,363,2010-12-29 00:00:00
32,20101229,3,1,1,82,35,2010-12-29 00:00:00
33,20101229,3,1,2,82,40,2010-12-29 00:00:00
34,20101229,3,1,2,83,100,2010-12-29 00:00:00
35,20101229,3,1,1,83,123,2010-12-29 00:00:00
36,20101229,3,1,1,84,103,2010-12-29 00:00:00
37,20101229,3,1,2,84,100,2010-12-29 00:00:00
38,20101229,3,1,2,85,100,2010-12-29 00:00:00
39,20101229,3,1,1,85,98,2010-12-29 00:00:00
40,20101229,3,1,1,87,540,2010-12-29 00:00:00
41,20101229,3,1,2,87,480,2010-12-29 00:00:00
42,20101229,3,1,1,89,201,2010-12-29 00:00:00
43,20101229,3,1,1,90,309,2010-12-29 00:00:00
44,20101229,3,1,1,91,-247,2010-12-29 00:00:00
45,20101229,3,1,1,92,412,2010-12-29 00:00:00
46,20101229,3,1,1,94,214,2010-12-29 00:00:00
47,20101229,3,1,1,96,12,2010-12-29 00:00:00
48,20101229,3,2,1,12,23197,2010-12-29 00:00:00
49,20101229,3,6,1,52,3059,2010-12-29 00:00:00
50,20101229,3,6,2,52,3200,2010-12-29 00:00:00
51,20101229,3,6,2,53,2600,2010-12-29 00:00:00
52,20101229,3,6,1,53,2294,2010-12-29 00:00:00
53,20101229,3,6,1,56,33968,2010-12-29 00:00:00
54,20101229,3,6,2,56,27200,2010-12-29 00:00:00
55,20101229,3,6,2,57,3800,2010-12-29 00:00:00
56,20101229,3,6,1,57,3186,2010-12-29 00:00:00
57,20101229,3,6,1,60,16320,2010-12-29 00:00:00
58,20101229,3,6,2,60,14300,2010-12-29 00:00:00
59,20101229,3,6,2,61,1600,2010-12-29 00:00:00
60,20101229,3,6,1,61,1632,2010-12-29 00:00:00
